scorer,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh,josh
1800,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,
1803,,,,,,,,,,,,,,,,,,
1804,,,,,,,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,
1806,,,,,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,,,,,
1808,,,,,,,,,,,,,,,,,,
1809,,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,,
1811,,,,,,,,,,,,,,,,,,
1812,,,,,,,,,,,,,,,,,,
1813,,,,,,,,,,,,,,,,,,
1814,,,,,,,,,,,,,,,,,,
1815,,,,,,,,,,,,,,,,,,
1816,,,,,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,,,,,
1818,,,,,,,,,,,,,,,,,,
1819,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,,
1821,,,,,,,,,,,,,,,,,,
1822,,,,,,,,,,,,,,,,,,
1823,,,,,,,,,,,,,,,,,,
1824,,,,,,,,,,,,,,,,,,
1825,,,,,,,,,,,,,,,,,,
1826,,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,,,,,
1829,,,,,,,,,,,,,,,,,,
1830,,,,,,,,,,,,,,,,,,
1831,,,,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,
1834,,,,,,,,,,,,,,,,,,
1835,,,,,,,,,,,,,,,,,,
1836,,,,,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,,,,,
1838,,,,,,,,,,,,,,,,,,
1839,,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,,
1841,,,,,,,,,,,,,,,,,,
1842,,,,,,,,,,,,,,,,,,
1843,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,
1845,,,,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,
1850,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,,,,
1866,,,,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,,
1871,,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,,,,
1876,,,,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,,,,,,
1880,,,,,,,,,,,,,,,,,,
1881,,,,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,,,,,
1911,,,,,,,,,,,,,,,,,,
1912,,,,,,,,,,,,,,,,,,
1913,,,,,,,,,,,,,,,,,,
1914,,,,,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,,,,,
1919,,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,,
1921,,,,,,,,,,,,,,,,,,
1922,,,,,,,,,,,,,,,,,,
1923,,,,,,,,,,,,,,,,,,
1924,,,,,,,,,,,,,,,,,,
1925,,,,,,,,,,,,,,,,,,
1926,,,,,,,,,,,,,,,,,,
1927,,,,,,,,,,,,,,,,,,
1928,,,,,,,,,,,,,,,,,,
1929,,,,,,,,,,,,,,,,,,
1930,,,,,,,,,,,,,,,,,,
1931,,,,,,,,,,,,,,,,,,
1932,,,,,,,,,,,,,,,,,,
1933,,,,,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,,,,,,
1935,,,,,,,,,,,,,,,,,,
1936,,,,,,,,,,,,,,,,,,
1937,,,,,,,,,,,,,,,,,,
1938,,,,,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,,,,
2026,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,,,,
2028,,,,,,,,,,,,,,,,,,
2029,,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,,
2031,,,,,,,,,,,,,,,,,,
2032,,,,,,,,,,,,,,,,,,
2033,,,,,,,,,,,,,,,,,,
2034,,,,,,,,,,,,,,,,,,
2035,,,,,,,,,,,,,,,,,,
2036,,,,,,,,,,,,,,,,,,
2037,,,,,,,,,,,,,,,,,,
2038,,,,,,,,,,,,,,,,,,
2039,,,,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,,,,
2041,,,,,,,,,,,,,,,,,,
2042,,,,,,,,,,,,,,,,,,
2043,,,,,,,,,,,,,,,,,,
2044,,,,,,,,,,,,,,,,,,
2045,,,,,,,,,,,,,,,,,,
2046,,,,,,,,,,,,,,,,,,
2047,,,,,,,,,,,,,,,,,,
2048,,,,,,,,,,,,,,,,,,
2049,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,,
2051,,,,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,,,,
2053,,,,,,,,,,,,,,,,,,
2054,,,,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,
2056,,,,,,,,,,,,,,,,,,
2057,,,,,,,,,,,,,,,,,,
2058,,,,,,,,,,,,,,,,,,
2059,,,,,,,,,,,,,,,,,,
2060,,,,,,,,,,,,,,,,,,
2061,,,,,,,,,,,,,,,,,,
2062,,,,,,,,,,,,,,,,,,
2063,,,,,,,,,,,,,,,,,,
2064,,,,,,,,,,,,,,,,,,
2065,,,,,,,,,,,,,,,,,,
2066,,,,,,,,,,,,,,,,,,
2067,,,,,,,,,,,,,,,,,,
2068,,,,,,,,,,,,,,,,,,
2069,,,,,,,,,,,,,,,,,,
2070,,,,,,,,,,,,,,,,,,
2071,,,,,,,,,,,,,,,,,,
2072,,,,,,,,,,,,,,,,,,
2073,,,,,,,,,,,,,,,,,,
2074,,,,,,,,,,,,,,,,,,
2075,,,,,,,,,,,,,,,,,,
2076,,,,,,,,,,,,,,,,,,
2077,,,,,,,,,,,,,,,,,,
2078,,,,,,,,,,,,,,,,,,
2079,,,,,,,,,,,,,,,,,,
2080,,,,,,,,,,,,,,,,,,
2081,,,,,,,,,,,,,,,,,,
2082,,,,,,,,,,,,,,,,,,
2083,,,,,,,,,,,,,,,,,,
2084,,,,,,,,,,,,,,,,,,
2085,,,,,,,,,,,,,,,,,,
2086,,,,,,,,,,,,,,,,,,
2087,,,,,,,,,,,,,,,,,,
2088,,,,,,,,,,,,,,,,,,
2089,,,,,,,,,,,,,,,,,,
2090,,,,,,,,,,,,,,,,,,
2091,,,,,,,,,,,,,,,,,,
2092,,,,,,,,,,,,,,,,,,
2093,,,,,,,,,,,,,,,,,,
2094,,,,,,,,,,,,,,,,,,
2095,,,,,,,,,,,,,,,,,,
2096,,,,,,,,,,,,,,,,,,
2097,,,,,,,,,,,,,,,,,,
2098,,,,,,,,,,,,,,,,,,
2099,,,,,,,,,,,,,,,,,,
2100,,,,,,,,,,,,,,,,,,
2101,,,,,,,,,,,,,,,,,,
2102,,,,,,,,,,,,,,,,,,
2103,,,,,,,,,,,,,,,,,,
2104,,,,,,,,,,,,,,,,,,
2105,,,,,,,,,,,,,,,,,,
2106,,,,,,,,,,,,,,,,,,
2107,,,,,,,,,,,,,,,,,,
2108,,,,,,,,,,,,,,,,,,
2109,,,,,,,,,,,,,,,,,,
2110,,,,,,,,,,,,,,,,,,
2111,,,,,,,,,,,,,,,,,,
2112,,,,,,,,,,,,,,,,,,
2113,,,,,,,,,,,,,,,,,,
2114,,,,,,,,,,,,,,,,,,
2115,,,,,,,,,,,,,,,,,,
2116,,,,,,,,,,,,,,,,,,
2117,,,,,,,,,,,,,,,,,,
2118,,,,,,,,,,,,,,,,,,
2119,,,,,,,,,,,,,,,,,,
2120,,,,,,,,,,,,,,,,,,
2121,,,,,,,,,,,,,,,,,,
2122,,,,,,,,,,,,,,,,,,
2123,,,,,,,,,,,,,,,,,,
2124,,,,,,,,,,,,,,,,,,
2125,,,,,,,,,,,,,,,,,,
2126,,,,,,,,,,,,,,,,,,
2127,,,,,,,,,,,,,,,,,,
2128,,,,,,,,,,,,,,,,,,
2129,,,,,,,,,,,,,,,,,,
2130,,,,,,,,,,,,,,,,,,
2131,,,,,,,,,,,,,,,,,,
2132,,,,,,,,,,,,,,,,,,
2133,,,,,,,,,,,,,,,,,,
2134,,,,,,,,,,,,,,,,,,
2135,,,,,,,,,,,,,,,,,,
2136,,,,,,,,,,,,,,,,,,
2137,,,,,,,,,,,,,,,,,,
2138,,,,,,,,,,,,,,,,,,
2139,,,,,,,,,,,,,,,,,,
2140,,,,,,,,,,,,,,,,,,
2141,,,,,,,,,,,,,,,,,,
2142,,,,,,,,,,,,,,,,,,
2143,,,,,,,,,,,,,,,,,,
2144,,,,,,,,,,,,,,,,,,
2145,,,,,,,,,,,,,,,,,,
2146,,,,,,,,,,,,,,,,,,
2147,,,,,,,,,,,,,,,,,,
2148,,,,,,,,,,,,,,,,,,
2149,,,,,,,,,,,,,,,,,,
2150,,,,,,,,,,,,,,,,,,
2151,,,,,,,,,,,,,,,,,,
2152,,,,,,,,,,,,,,,,,,
2153,,,,,,,,,,,,,,,,,,
2154,,,,,,,,,,,,,,,,,,
2155,,,,,,,,,,,,,,,,,,
2156,,,,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,
2158,,,,,,,,,,,,,,,,,,
2159,,,,,,,,,,,,,,,,,,
2160,,,,,,,,,,,,,,,,,,
2161,,,,,,,,,,,,,,,,,,
2162,,,,,,,,,,,,,,,,,,
2163,,,,,,,,,,,,,,,,,,
2164,,,,,,,,,,,,,,,,,,
2165,,,,,,,,,,,,,,,,,,
2166,,,,,,,,,,,,,,,,,,
2167,,,,,,,,,,,,,,,,,,
2168,,,,,,,,,,,,,,,,,,
2169,,,,,,,,,,,,,,,,,,
2170,,,,,,,,,,,,,,,,,,
2171,,,,,,,,,,,,,,,,,,
2172,,,,,,,,,,,,,,,,,,
2173,,,,,,,,,,,,,,,,,,
2174,,,,,,,,,,,,,,,,,,
2175,,,,,,,,,,,,,,,,,,
2176,,,,,,,,,,,,,,,,,,
2177,,,,,,,,,,,,,,,,,,
2178,,,,,,,,,,,,,,,,,,
2179,,,,,,,,,,,,,,,,,,
2180,,,,,,,,,,,,,,,,,,
2181,,,,,,,,,,,,,,,,,,
2182,,,,,,,,,,,,,,,,,,
2183,,,,,,,,,,,,,,,,,,
2184,,,,,,,,,,,,,,,,,,
2185,,,,,,,,,,,,,,,,,,
2186,,,,,,,,,,,,,,,,,,
2187,,,,,,,,,,,,,,,,,,
2188,,,,,,,,,,,,,,,,,,
2189,,,,,,,,,,,,,,,,,,
2190,,,,,,,,,,,,,,,,,,
2191,,,,,,,,,,,,,,,,,,
2192,,,,,,,,,,,,,,,,,,
2193,,,,,,,,,,,,,,,,,,
2194,,,,,,,,,,,,,,,,,,
2195,,,,,,,,,,,,,,,,,,
2196,,,,,,,,,,,,,,,,,,
2197,,,,,,,,,,,,,,,,,,
2198,,,,,,,,,,,,,,,,,,
2199,,,,,,,,,,,,,,,,,,
2200,,,,,,,,,,,,,,,,,,
2201,,,,,,,,,,,,,,,,,,
2202,,,,,,,,,,,,,,,,,,
2203,,,,,,,,,,,,,,,,,,
2204,,,,,,,,,,,,,,,,,,
2205,,,,,,,,,,,,,,,,,,
2206,,,,,,,,,,,,,,,,,,
2207,,,,,,,,,,,,,,,,,,
2208,,,,,,,,,,,,,,,,,,
2209,,,,,,,,,,,,,,,,,,
2210,,,,,,,,,,,,,,,,,,
2211,,,,,,,,,,,,,,,,,,
2212,,,,,,,,,,,,,,,,,,
2213,,,,,,,,,,,,,,,,,,
2214,,,,,,,,,,,,,,,,,,
2215,,,,,,,,,,,,,,,,,,
2216,,,,,,,,,,,,,,,,,,
2217,,,,,,,,,,,,,,,,,,
2218,,,,,,,,,,,,,,,,,,
2219,,,,,,,,,,,,,,,,,,
2220,,,,,,,,,,,,,,,,,,
2221,,,,,,,,,,,,,,,,,,
2222,,,,,,,,,,,,,,,,,,
2223,,,,,,,,,,,,,,,,,,
2224,,,,,,,,,,,,,,,,,,
2225,,,,,,,,,,,,,,,,,,
2226,,,,,,,,,,,,,,,,,,
2227,,,,,,,,,,,,,,,,,,
2228,,,,,,,,,,,,,,,,,,
2229,,,,,,,,,,,,,,,,,,
2230,,,,,,,,,,,,,,,,,,
2231,,,,,,,,,,,,,,,,,,
2232,,,,,,,,,,,,,,,,,,
2233,,,,,,,,,,,,,,,,,,
2234,,,,,,,,,,,,,,,,,,
2235,,,,,,,,,,,,,,,,,,
2236,,,,,,,,,,,,,,,,,,
2237,,,,,,,,,,,,,,,,,,
2238,,,,,,,,,,,,,,,,,,
2239,,,,,,,,,,,,,,,,,,
2240,,,,,,,,,,,,,,,,,,
2241,,,,,,,,,,,,,,,,,,
2242,,,,,,,,,,,,,,,,,,
2243,,,,,,,,,,,,,,,,,,
2244,,,,,,,,,,,,,,,,,,
2245,,,,,,,,,,,,,,,,,,
2246,,,,,,,,,,,,,,,,,,
2247,,,,,,,,,,,,,,,,,,
2248,,,,,,,,,,,,,,,,,,
2249,,,,,,,,,,,,,,,,,,
2250,,,,,,,,,,,,,,,,,,
2251,,,,,,,,,,,,,,,,,,
2252,,,,,,,,,,,,,,,,,,
2253,,,,,,,,,,,,,,,,,,
2254,,,,,,,,,,,,,,,,,,
2255,,,,,,,,,,,,,,,,,,
2256,,,,,,,,,,,,,,,,,,
2257,,,,,,,,,,,,,,,,,,
2258,,,,,,,,,,,,,,,,,,
2259,,,,,,,,,,,,,,,,,,
2260,,,,,,,,,,,,,,,,,,
2261,,,,,,,,,,,,,,,,,,
2262,,,,,,,,,,,,,,,,,,
2263,,,,,,,,,,,,,,,,,,
2264,,,,,,,,,,,,,,,,,,
2265,,,,,,,,,,,,,,,,,,
2266,,,,,,,,,,,,,,,,,,
2267,,,,,,,,,,,,,,,,,,
2268,,,,,,,,,,,,,,,,,,
2269,,,,,,,,,,,,,,,,,,
2270,,,,,,,,,,,,,,,,,,
2271,,,,,,,,,,,,,,,,,,
2272,,,,,,,,,,,,,,,,,,
2273,,,,,,,,,,,,,,,,,,
2274,,,,,,,,,,,,,,,,,,
2275,,,,,,,,,,,,,,,,,,
2276,,,,,,,,,,,,,,,,,,
2277,,,,,,,,,,,,,,,,,,
2278,,,,,,,,,,,,,,,,,,
2279,,,,,,,,,,,,,,,,,,
2280,,,,,,,,,,,,,,,,,,
2281,,,,,,,,,,,,,,,,,,
2282,,,,,,,,,,,,,,,,,,
2283,,,,,,,,,,,,,,,,,,
2284,,,,,,,,,,,,,,,,,,
2285,,,,,,,,,,,,,,,,,,
2286,,,,,,,,,,,,,,,,,,
2287,,,,,,,,,,,,,,,,,,
2288,,,,,,,,,,,,,,,,,,
2289,,,,,,,,,,,,,,,,,,
2290,,,,,,,,,,,,,,,,,,
2291,,,,,,,,,,,,,,,,,,
2292,,,,,,,,,,,,,,,,,,
2293,,,,,,,,,,,,,,,,,,
2294,,,,,,,,,,,,,,,,,,
2295,,,,,,,,,,,,,,,,,,
2296,,,,,,,,,,,,,,,,,,
2297,,,,,,,,,,,,,,,,,,
2298,,,,,,,,,,,,,,,,,,
2299,,,,,,,,,,,,,,,,,,
2300,,,,,,,,,,,,,,,,,,
2301,,,,,,,,,,,,,,,,,,
2302,,,,,,,,,,,,,,,,,,
2303,,,,,,,,,,,,,,,,,,
2304,,,,,,,,,,,,,,,,,,
2305,,,,,,,,,,,,,,,,,,
2306,,,,,,,,,,,,,,,,,,
2307,,,,,,,,,,,,,,,,,,
2308,,,,,,,,,,,,,,,,,,
2309,,,,,,,,,,,,,,,,,,
2310,,,,,,,,,,,,,,,,,,
2311,,,,,,,,,,,,,,,,,,
2312,,,,,,,,,,,,,,,,,,
2313,,,,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,
2315,,,,,,,,,,,,,,,,,,
2316,,,,,,,,,,,,,,,,,,
2317,,,,,,,,,,,,,,,,,,
2318,,,,,,,,,,,,,,,,,,
2319,,,,,,,,,,,,,,,,,,
2320,,,,,,,,,,,,,,,,,,
2321,,,,,,,,,,,,,,,,,,
2322,,,,,,,,,,,,,,,,,,
2323,,,,,,,,,,,,,,,,,,
2324,,,,,,,,,,,,,,,,,,
2325,,,,,,,,,,,,,,,,,,
2326,,,,,,,,,,,,,,,,,,
2327,,,,,,,,,,,,,,,,,,
2328,,,,,,,,,,,,,,,,,,
2329,,,,,,,,,,,,,,,,,,
2330,,,,,,,,,,,,,,,,,,
2331,,,,,,,,,,,,,,,,,,
2332,,,,,,,,,,,,,,,,,,
2333,,,,,,,,,,,,,,,,,,
2334,,,,,,,,,,,,,,,,,,
2335,,,,,,,,,,,,,,,,,,
2336,,,,,,,,,,,,,,,,,,
2337,,,,,,,,,,,,,,,,,,
2338,,,,,,,,,,,,,,,,,,
2339,,,,,,,,,,,,,,,,,,
2340,,,,,,,,,,,,,,,,,,
2341,,,,,,,,,,,,,,,,,,
2342,,,,,,,,,,,,,,,,,,
2343,,,,,,,,,,,,,,,,,,
2344,,,,,,,,,,,,,,,,,,
2345,,,,,,,,,,,,,,,,,,
2346,,,,,,,,,,,,,,,,,,
2347,,,,,,,,,,,,,,,,,,
2348,,,,,,,,,,,,,,,,,,
2349,,,,,,,,,,,,,,,,,,
2350,,,,,,,,,,,,,,,,,,
2351,,,,,,,,,,,,,,,,,,
2352,,,,,,,,,,,,,,,,,,
2353,,,,,,,,,,,,,,,,,,
2354,,,,,,,,,,,,,,,,,,
2355,,,,,,,,,,,,,,,,,,
2356,,,,,,,,,,,,,,,,,,
2357,,,,,,,,,,,,,,,,,,
2358,,,,,,,,,,,,,,,,,,
2359,,,,,,,,,,,,,,,,,,
2360,,,,,,,,,,,,,,,,,,
2361,,,,,,,,,,,,,,,,,,
2362,,,,,,,,,,,,,,,,,,
2363,,,,,,,,,,,,,,,,,,
2364,,,,,,,,,,,,,,,,,,
2365,,,,,,,,,,,,,,,,,,
2366,,,,,,,,,,,,,,,,,,
2367,,,,,,,,,,,,,,,,,,
2368,,,,,,,,,,,,,,,,,,
2369,,,,,,,,,,,,,,,,,,
2370,,,,,,,,,,,,,,,,,,
2371,,,,,,,,,,,,,,,,,,
2372,,,,,,,,,,,,,,,,,,
2373,,,,,,,,,,,,,,,,,,
2374,,,,,,,,,,,,,,,,,,
2375,,,,,,,,,,,,,,,,,,
2376,,,,,,,,,,,,,,,,,,
2377,,,,,,,,,,,,,,,,,,
2378,,,,,,,,,,,,,,,,,,
2379,,,,,,,,,,,,,,,,,,
2380,,,,,,,,,,,,,,,,,,
2381,,,,,,,,,,,,,,,,,,
2382,,,,,,,,,,,,,,,,,,
2383,,,,,,,,,,,,,,,,,,
2384,,,,,,,,,,,,,,,,,,
2385,,,,,,,,,,,,,,,,,,
2386,,,,,,,,,,,,,,,,,,
2387,,,,,,,,,,,,,,,,,,
2388,,,,,,,,,,,,,,,,,,
2389,,,,,,,,,,,,,,,,,,
2390,,,,,,,,,,,,,,,,,,
2391,,,,,,,,,,,,,,,,,,
2392,,,,,,,,,,,,,,,,,,
2393,,,,,,,,,,,,,,,,,,
2394,,,,,,,,,,,,,,,,,,
2395,,,,,,,,,,,,,,,,,,
2396,,,,,,,,,,,,,,,,,,
2397,29.03167533479328,3.142533377788634,25.493361806506265,,,,,,,,,,,,,,,
2398,28.988433829413907,3.1762398306467468,25.52828809880012,,,,,,,,,,,,,,,
2399,28.926197648835476,3.19166166544179,25.52385801564701,,,,,,,,,,,,,,,
2400,28.809909505308426,3.180755335332973,25.45585764573628,,,,,,,,,,,,,,,
2401,28.793227056658242,3.187847179416022,25.476631268939556,,,,,,,,,,,,,,,
2402,28.78257343836955,3.187884356749435,25.472938221965023,,,,,,,,,,,,,,,
2403,28.766732669166956,3.2034635322958795,25.441206323448835,,,,,,,,,,,,,,,
2404,28.74850245337225,3.218655666380925,25.41161826730586,,,,,,,,,,,,,,,
2405,28.715575758989715,3.2584253665893397,25.380560727450884,,,,,,,,,,,,,,,
2406,28.648166162563786,3.297822220870005,25.320097151386772,,,,,,,,,,,,,,,
2407,28.627904526299034,3.3406414178182873,25.336769179498766,,,,,,,,,,,,,,,
2408,28.576217548777784,3.3576424029307455,25.30331297322669,,,,,,,,,,,,,,,
2409,28.528835384834373,3.3689658282879105,25.296963551696862,,,,,,,,,,,,,,,
2410,28.48036067937889,3.3917266871565968,25.295466706133137,,,,,,,,,,,,,,,
2411,28.367493003104833,3.3950113023751,25.22075358999758,,,,,,,,,,,,,,,
2412,28.2794216784592,3.4156213265683975,25.17363717760896,,,,,,,,,,,,,,,
2413,28.187609097013386,3.432100963978675,25.150217438530795,,,,,,,,,,,,,,,
2414,28.045081384037186,3.4374335836120604,25.10141779442696,,,,,,,,,,,,,,,
2415,27.865102070744022,3.419187571614315,25.07288871849326,,,,,,,,,,,,,,,
2416,27.707293106768006,3.383563834160381,25.06400851603637,,,,,,,,,,,,,,,
2417,27.52324738458201,3.3635011438421647,25.12914546612254,,,,,,,,,,,,,,,
2418,27.318063871165933,3.3490099204846864,25.118518597749866,,,,,,,,,,,,,,,
2419,27.148113567733194,3.3333475245450015,25.17547424036688,,,,,,,,,,,,,,,
2420,26.95281582694798,3.3070115328341365,25.206801975830228,,,,,,,,,,,,,,,
2421,26.797510420392463,3.2807985781325755,25.25488294289981,,,,,,,,,,,,,,,
2422,26.625078912125208,3.2367936593026654,25.277727440991022,,,,,,,,,,,,,,,
2423,26.44961562004509,3.199209524925004,25.2942034105159,,,,,,,,,,,,,,,
2424,26.302342812536665,3.1665386327917773,25.338583363140263,,,,,,,,,,,,,,,
2425,26.140473050931078,3.1591182775383895,25.359926684184497,,,,,,,,,,,,,,,
2426,25.98664886703809,3.183604473493833,25.372967046287513,,,,,,,,,,,,,,,
2427,25.811013995994205,3.2020297448507837,25.363270535107553,,,,,,,,,,,,,,,
2428,25.66634025545445,3.221594786976832,25.39807065100632,,,,,,,,,,,,,,,
2429,25.474364974332165,3.209868416003889,25.358706800914913,,,,,,,,,,,,,,,
